# input file: /n/holylfs05/LABS/informatics/Users/gthomas/phyloacc-workflows/data/01b-zoonomia-aln/02-4d-sites/all-chromosomes/chr11-4d-sites.ss
# missing threshold: 0.5
# output file: /n/holylfs05/LABS/informatics/Users/gthomas/phyloacc-workflows/data/01b-zoonomia-aln/02-4d-sites/all-chromosomes-filtered/chr11-4d-sites-filtered-0.5.ss
var	filter.cat	value
num.seqs	pre.filter	241
aln.len	pre.filter	42245
num.sites	pre.filter	39437
avg.site.count	pre.filter	1.0712021705504982
max.site.count	pre.filter	227
num.singletons	pre.filter	39040
total.missing.cols	pre.filter	1002623
avg.missing.per.site	pre.filter	23.733530595336727
num.seqs	post.filter	241
aln.len	post.filter	38348
num.sites	post.filter	37813
avg.site.count	post.filter	1.0141485732420068
max.site.count	post.filter	105
num.singletons	post.filter	37688
total.missing.cols	post.filter	139400
avg.missing.per.site	post.filter	3.6351309064357986
