# input file: /n/holylfs05/LABS/informatics/Users/gthomas/phyloacc-workflows/data/01b-zoonomia-aln/02-4d-sites/all-chromosomes/chr3-4d-sites.ss
# missing threshold: 0.5
# output file: /n/holylfs05/LABS/informatics/Users/gthomas/phyloacc-workflows/data/01b-zoonomia-aln/02-4d-sites/all-chromosomes-filtered/chr3-4d-sites-filtered-0.5.ss
var	filter.cat	value
num.seqs	pre.filter	241
aln.len	pre.filter	47483
num.sites	pre.filter	44049
avg.site.count	pre.filter	1.0779586369724625
max.site.count	pre.filter	759
num.singletons	pre.filter	43781
total.missing.cols	pre.filter	862583
avg.missing.per.site	pre.filter	18.166143672472252
num.seqs	post.filter	241
aln.len	post.filter	44193
num.sites	post.filter	43430
avg.site.count	post.filter	1.0175685010361502
max.site.count	post.filter	138
num.singletons	post.filter	43293
total.missing.cols	post.filter	104573
avg.missing.per.site	post.filter	2.366279727558663
