# input file: /n/holylfs05/LABS/informatics/Users/gthomas/phyloacc-workflows/data/01b-zoonomia-aln/02-4d-sites/all-chromosomes/chr19-4d-sites.ss
# missing threshold: 0.5
# output file: /n/holylfs05/LABS/informatics/Users/gthomas/phyloacc-workflows/data/01b-zoonomia-aln/02-4d-sites/all-chromosomes-filtered/chr19-4d-sites-filtered-0.5.ss
var	filter.cat	value
num.seqs	pre.filter	241
aln.len	pre.filter	40301
num.sites	pre.filter	31352
avg.site.count	pre.filter	1.285436335799949
max.site.count	pre.filter	484
num.singletons	pre.filter	30179
total.missing.cols	pre.filter	3295163
avg.missing.per.site	pre.filter	81.76380238703754
num.seqs	post.filter	241
aln.len	post.filter	26185
num.sites	post.filter	26084
avg.site.count	post.filter	1.0038721055052906
max.site.count	post.filter	13
num.singletons	post.filter	26028
total.missing.cols	post.filter	220525
avg.missing.per.site	post.filter	8.421806377697155
